,0
0,-1391.589721036551
1,-2210.422413016204
2,-2165.4548027026467
3,-2036.6859098111745
4,-1969.3513209708035
5,-1918.147662912961
6,-1968.1666868233588
7,-2040.0645586582832
8,-2013.648816179717
9,-1998.1436970811337
10,-2047.2188306765165
11,-2071.577759362641
12,-2085.317092697427
13,-2091.0505278892815
14,-2016.107136999257
15,-1282.794652077544
16,-1678.6173639817862
17,-2761.7262248531915
18,-2559.297252930817
19,-2332.0483300313354
20,-2234.002424637787
21,-2150.1348576382734
22,-2285.6180998659693
23,-2408.2439990919083
24,-2338.5539931952953
25,-2266.0676885778084
26,-2301.511033548042
27,-2352.9560315997805
28,-2366.226750173606
29,-2415.0456739775836
30,-2328.046465057414
31,-1558.2665426426101
32,-1206.1432066531852
33,-2082.6924163263757
34,-1732.8341663235915
35,-1507.710112030618
36,-1442.783978593303
37,-1337.6577830195893
38,-1415.057094117743
39,-1430.6438507477287
40,-1382.7027694376302
41,-1391.3864851326216
42,-1431.941697023809
43,-1507.681488313945
44,-1558.5794927503448
45,-1597.1112462888705
46,-1571.5629177614464
47,-947.1462833135156
48,-1113.1040602293797
49,-1860.2743075259496
50,-1316.2893242989667
51,-1173.7681315769441
52,-1122.6397196007892
53,-1037.9977799756452
54,-1059.0053944787942
55,-1142.971951651387
56,-1179.098506480921
57,-1140.3309371031355
58,-1185.722831142135
59,-1249.9077033712529
60,-1251.0950423353352
61,-1338.5454643582925
62,-1305.0609021466225
63,-751.9228659479413
64,-1159.661973221344
65,-1791.7483583195135
66,-1124.5512850075029
67,-957.7940169223584
68,-1018.7414983478375
69,-1090.0950014649425
70,-1095.487518517999
71,-1107.6182216599118
72,-1104.6255709980614
73,-1105.913946475368
74,-1199.8955922867171
75,-1175.123396795243
76,-1191.5728457331425
77,-1262.7095472041983
78,-1198.3018482759362
79,-651.7919612480327
80,-1210.0326697988203
81,-1833.3397944926983
82,-1104.704074043315
83,-926.2779968909454
84,-1026.679695241619
85,-1090.7267575943843
86,-1095.442830850836
87,-1197.1447170241736
88,-1214.428571467055
89,-1237.7254030070035
90,-1288.7618025174597
91,-1176.5926678066608
92,-1084.5033708154224
93,-1115.095963914995
94,-1083.9135877930676
95,-592.3802380454727
96,-1215.538140251767
97,-1846.8459150847048
98,-1204.9661589297466
99,-1026.0363817602629
100,-1172.90304343123
101,-1180.4326306235744
102,-1152.5242180365603
103,-1199.1404679052066
104,-1245.8265286814421
105,-1352.8258406165987
106,-1346.3345585432835
107,-1226.5516490985174
108,-1140.377929548442
109,-1105.7824223455973
110,-1083.8132231291384
111,-572.2350958419265
112,-1220.1372583147604
113,-1830.0346276774071
114,-1192.5374469985254
115,-1013.5289858900942
116,-1124.9252577950247
117,-1130.93545863498
118,-1118.1893572574481
119,-1182.9506021738052
120,-1327.5430014599115
121,-1474.5683006988838
122,-1405.9175886814483
123,-1338.282103526406
124,-1199.6314427196048
125,-1108.1372637227178
126,-1099.9531632298604
127,-538.5086006219499
128,-1228.664394142339
129,-1832.1864150530891
130,-1186.0266939232242
131,-996.6563683513086
132,-1047.053329970222
133,-1063.6847856584936
134,-986.6457675029524
135,-1016.2269410965964
136,-1218.3052366152406
137,-1330.0525939303916
138,-1328.6664840052836
139,-1308.8385914335959
140,-1203.615653147921
141,-1149.853094367776
142,-1052.1735233645886
143,-557.2618631453952
144,-1213.1756597257918
145,-1883.1349657429382
146,-1269.5832879408263
147,-1066.7330867289566
148,-1113.7187006755266
149,-1113.2692907012533
150,-983.9124591201544
151,-1069.7861713115271
152,-1148.3890245670336
153,-1262.287412387319
154,-1332.126244747662
155,-1256.0770734545076
156,-1134.6904559643008
157,-1118.8378352858708
158,-1017.9913961524144
159,-542.866439950245
160,-1239.9164870042587
161,-2016.8237353780714
162,-1345.319117247942
163,-1158.630670724786
164,-1204.3204418516252
165,-1205.7108409884386
