,0
0,-1800.2620826201037
1,-5489.755390753669
2,-4795.26466366398
3,-4797.484383847074
4,-4898.636946465269
5,-4941.757782217069
6,-4809.936088661188
7,-3167.088542452726
8,-4818.344772782617
9,-11050.894839993514
10,-9863.528522795346
11,-10165.738749956063
12,-10399.077990491976
13,-10499.217485087278
14,-9957.854749609896
15,-6545.013461705574
16,-3807.959492064086
17,-9993.40457855807
18,-8712.286248244884
19,-9326.962745534105
20,-9654.86541544518
21,-9567.229649588786
22,-9496.512544571931
23,-6389.418252687912
24,-3959.296674493973
25,-9817.705394177821
26,-8781.329000646338
27,-9499.91010297681
28,-9957.965699934995
29,-9991.588732006188
30,-9373.29923642368
31,-6495.101939467086
32,-4008.389276005233
33,-9819.663603073135
34,-8957.446188808794
35,-9551.717057683289
36,-10049.524464494334
37,-9948.262105811422
38,-9390.68280002848
39,-6521.402820594734
40,-3882.994367650759
41,-10054.632066068698
42,-8877.193249852857
43,-9258.065575800447
44,-9675.865964762188
45,-9750.03511248541
46,-9362.38535597032
47,-6143.272545664833
48,-3646.550677969574
49,-10044.187890076557
50,-9029.491503286728
51,-9422.67328920986
52,-9794.119548636281
53,-10040.618931450266
54,-9650.88002760929
55,-6423.366553530766
56,-1602.3527497984846
57,-5552.209810082639
58,-4749.608062743744
59,-5182.25852825161
60,-5215.572112307722
61,-5241.756980042937
62,-4976.9449307485975
63,-3259.9556943736407
