,0
0,-1679.2049288465641
1,-2327.503390619997
2,-2148.4072680780664
3,-2127.708831749391
4,-2118.168758881511
5,-2115.3195147993974
6,-2092.6754824547097
7,-2023.2379051502794
8,-2006.6460975846276
9,-1988.123664222192
10,-1953.1609967066906
11,-1907.7084269402549
12,-1898.0022674740758
13,-1892.4814160983078
14,-1895.2724082916975
15,-1909.6353117236868
16,-1900.403526617214
17,-1891.3958115428686
18,-1920.9517205213197
19,-1891.5651979651302
20,-1834.1673254242633
21,-1828.3693885919638
22,-1807.754042875953
23,-1748.3188433274627
24,-1755.910244829487
25,-1732.3635681569576
26,-1696.0915733422153
27,-1641.284113761969
28,-1588.2292760512792
29,-1543.2672431084793
30,-1462.7315266216683
31,-1167.2418607702893
32,-2013.797364257276
33,-3274.41651124286
34,-2577.5618695614394
35,-2580.6792282788083
36,-2567.2950917677954
37,-2596.645717546344
38,-2604.5596288451925
39,-2561.529917379841
40,-2557.0901965377852
41,-2571.4183795414865
42,-2558.170656451024
43,-2567.016338280402
44,-2609.076801341027
45,-2629.930286842864
46,-2680.1347068091854
47,-2716.6261411141604
48,-2746.576651697047
49,-2831.9036426409148
50,-2833.3291167190764
51,-2833.5474373837933
52,-2736.9596472345293
53,-2646.9918641801924
54,-2619.214996258728
55,-2553.1973956208676
56,-2459.3621438248083
57,-2395.6474639396183
58,-2342.5295132780448
59,-2234.410086588934
60,-2101.576346769929
61,-2001.7519783768803
62,-2047.0893075417687
63,-1641.3129544781877
64,-1654.614369576797
65,-2465.803284387104
66,-1873.2789259538986
67,-1916.4943838189356
68,-1958.6724690082483
69,-2043.1104546510614
70,-2073.979095524177
71,-2045.13287246041
72,-2079.579109222628
73,-2133.0197396716103
74,-2157.459145270288
75,-2186.290835463209
76,-2286.1714225024916
77,-2348.3457826920785
78,-2455.6416676137596
79,-2527.067896177061
80,-2556.6287290612236
81,-2633.042766132392
82,-2610.137163308449
83,-2598.0869396869093
84,-2569.394196114503
85,-2462.684015031904
86,-2380.040789116174
87,-2326.6618977161124
88,-2235.128464182839
89,-2146.820604954846
90,-2063.654223649297
91,-1934.6834760764614
92,-1780.019957873039
93,-1625.5441022901796
94,-1716.5424766814722
95,-1420.7783863071127
96,-1648.6488955472596
97,-2448.959674828686
98,-1872.6431010453962
99,-1933.4077841346152
100,-1941.7150860219263
101,-2024.1528656226583
102,-2071.4696831181645
103,-2073.7344925059006
104,-2136.6146796257235
105,-2160.0372646958567
106,-2178.9338398436084
107,-2252.8588364431635
108,-2304.4154280056246
109,-2361.762736249715
110,-2446.1642095707357
111,-2512.7053249529563
112,-2562.005383368116
113,-2649.798645642586
114,-2665.6583337094635
115,-2600.607876607217
116,-2600.4299977431074
117,-2509.1664602914825
118,-2397.669789741747
119,-2384.2051012413576
120,-2303.8310706894845
121,-2245.848790288437
122,-2129.2767751631327
123,-2052.490305810701
124,-1913.4169130399823
125,-1756.2318103066646
126,-1799.4377230087412
127,-1468.831297190125
128,-1642.5073857940733
129,-2460.232586160302
130,-1872.440545367077
131,-1930.0949497793335
132,-1942.4676486421376
133,-2021.9263282231987
134,-2081.0709536867216
135,-2092.9786324240267
136,-2149.0166346449405
137,-2156.1054304795107
138,-2169.3582418416627
139,-2217.766274716705
140,-2245.4258013158105
141,-2283.069284717785
142,-2378.881974324584
143,-2488.524444486946
144,-2553.9190387721173
145,-2628.8212747806683
146,-2685.4420306067914
147,-2633.2268803329207
148,-2614.6430054511875
149,-2585.7240865333006
