001  00001 |Loss: 2.463 | Acc: 9.375% 
001  00002 |Loss: 2.447 | Acc: 9.375% 
001  00003 |Loss: 2.407 | Acc: 10.677% 
001  00004 |Loss: 2.392 | Acc: 12.500% 
001  00005 |Loss: 2.378 | Acc: 12.969% 
001  00006 |Loss: 2.365 | Acc: 12.630% 
001  00007 |Loss: 2.352 | Acc: 13.058% 
001  00008 |Loss: 2.336 | Acc: 13.770% 
001  00009 |Loss: 2.331 | Acc: 13.542% 
001  00010 |Loss: 2.320 | Acc: 13.984% 
001  00011 |Loss: 2.309 | Acc: 14.347% 
001  00012 |Loss: 2.294 | Acc: 14.974% 
001  00013 |Loss: 2.288 | Acc: 14.964% 
001  00014 |Loss: 2.274 | Acc: 15.346% 
001  00015 |Loss: 2.259 | Acc: 15.781% 
001  00016 |Loss: 2.246 | Acc: 15.625% 
001  00017 |Loss: 2.239 | Acc: 15.855% 
001  00018 |Loss: 2.234 | Acc: 15.625% 
001  00019 |Loss: 2.223 | Acc: 15.625% 
001  00020 |Loss: 2.216 | Acc: 15.703% 
001  00021 |Loss: 2.207 | Acc: 16.183% 
001  00022 |Loss: 2.197 | Acc: 16.371% 
001  00023 |Loss: 2.188 | Acc: 16.678% 
001  00024 |Loss: 2.182 | Acc: 16.829% 
001  00025 |Loss: 2.174 | Acc: 17.062% 
001  00026 |Loss: 2.168 | Acc: 17.308% 
001  00027 |Loss: 2.164 | Acc: 17.650% 
001  00028 |Loss: 2.155 | Acc: 17.969% 
001  00029 |Loss: 2.153 | Acc: 18.077% 
001  00030 |Loss: 2.148 | Acc: 18.255% 
001  00031 |Loss: 2.136 | Acc: 18.473% 
001  00032 |Loss: 2.130 | Acc: 18.579% 
001  00033 |Loss: 2.124 | Acc: 18.774% 
001  00034 |Loss: 2.120 | Acc: 19.049% 
001  00035 |Loss: 2.114 | Acc: 19.219% 
001  00036 |Loss: 2.109 | Acc: 19.227% 
001  00037 |Loss: 2.102 | Acc: 19.405% 
001  00038 |Loss: 2.095 | Acc: 19.634% 
001  00039 |Loss: 2.091 | Acc: 19.812% 
001  00040 |Loss: 2.087 | Acc: 19.941% 
001  00041 |Loss: 2.081 | Acc: 20.103% 
001  00042 |Loss: 2.077 | Acc: 20.126% 
001  00043 |Loss: 2.072 | Acc: 20.349% 
001  00044 |Loss: 2.064 | Acc: 20.632% 
001  00045 |Loss: 2.056 | Acc: 20.868% 
001  00046 |Loss: 2.051 | Acc: 21.162% 
001  00047 |Loss: 2.045 | Acc: 21.393% 
001  00048 |Loss: 2.043 | Acc: 21.501% 
001  00049 |Loss: 2.035 | Acc: 21.732% 
001  00050 |Loss: 2.029 | Acc: 21.812% 
001  00051 |Loss: 2.025 | Acc: 21.982% 
001  00052 |Loss: 2.021 | Acc: 22.175% 
001  00053 |Loss: 2.019 | Acc: 22.170% 
001  00054 |Loss: 2.015 | Acc: 22.323% 
001  00055 |Loss: 2.010 | Acc: 22.429% 
001  00056 |Loss: 2.006 | Acc: 22.559% 
001  00057 |Loss: 1.999 | Acc: 22.793% 
001  00058 |Loss: 1.998 | Acc: 22.764% 
001  00059 |Loss: 1.996 | Acc: 22.828% 
001  00060 |Loss: 1.992 | Acc: 22.930% 
001  00061 |Loss: 1.986 | Acc: 23.066% 
001  00062 |Loss: 1.985 | Acc: 23.160% 
001  00063 |Loss: 1.980 | Acc: 23.338% 
001  00064 |Loss: 1.976 | Acc: 23.486% 
001  00065 |Loss: 1.972 | Acc: 23.666% 
001  00066 |Loss: 1.968 | Acc: 23.793% 
001  00067 |Loss: 1.965 | Acc: 23.869% 
001  00068 |Loss: 1.962 | Acc: 23.932% 
001  00069 |Loss: 1.959 | Acc: 24.117% 
001  00070 |Loss: 1.957 | Acc: 24.185% 
001  00071 |Loss: 1.954 | Acc: 24.362% 
001  00072 |Loss: 1.950 | Acc: 24.523% 
001  00073 |Loss: 1.946 | Acc: 24.647% 
001  00074 |Loss: 1.943 | Acc: 24.662% 
001  00075 |Loss: 1.939 | Acc: 24.708% 
001  00076 |Loss: 1.934 | Acc: 24.866% 
001  00077 |Loss: 1.932 | Acc: 24.919% 
001  00078 |Loss: 1.929 | Acc: 25.090% 
001  00079 |Loss: 1.925 | Acc: 25.237% 
001  00080 |Loss: 1.921 | Acc: 25.391% 
001  00081 |Loss: 1.919 | Acc: 25.415% 
001  00082 |Loss: 1.918 | Acc: 25.495% 
001  00083 |Loss: 1.918 | Acc: 25.471% 
001  00084 |Loss: 1.914 | Acc: 25.530% 
001  00085 |Loss: 1.911 | Acc: 25.689% 
001  00086 |Loss: 1.908 | Acc: 25.863% 
001  00087 |Loss: 1.904 | Acc: 26.024% 
001  00088 |Loss: 1.901 | Acc: 26.119% 
001  00089 |Loss: 1.898 | Acc: 26.176% 
001  00090 |Loss: 1.895 | Acc: 26.345% 
001  00091 |Loss: 1.891 | Acc: 26.459% 
001  00092 |Loss: 1.890 | Acc: 26.562% 
001  00093 |Loss: 1.889 | Acc: 26.638% 
001  00094 |Loss: 1.886 | Acc: 26.745% 
001  00095 |Loss: 1.884 | Acc: 26.801% 
001  00096 |Loss: 1.882 | Acc: 26.864% 
001  00097 |Loss: 1.880 | Acc: 26.877% 
001  00098 |Loss: 1.877 | Acc: 26.969% 
001  00099 |Loss: 1.876 | Acc: 27.044% 
001  00100 |Loss: 1.874 | Acc: 27.109% 
001  00101 |Loss: 1.872 | Acc: 27.119% 
001  00102 |Loss: 1.869 | Acc: 27.198% 
001  00103 |Loss: 1.866 | Acc: 27.283% 
001  00104 |Loss: 1.865 | Acc: 27.404% 
001  00105 |Loss: 1.863 | Acc: 27.448% 
001  00106 |Loss: 1.861 | Acc: 27.535% 
001  00107 |Loss: 1.857 | Acc: 27.709% 
001  00108 |Loss: 1.855 | Acc: 27.785% 
001  00109 |Loss: 1.854 | Acc: 27.860% 
001  00110 |Loss: 1.851 | Acc: 27.983% 
001  00111 |Loss: 1.849 | Acc: 28.083% 
001  00112 |Loss: 1.848 | Acc: 28.132% 
001  00113 |Loss: 1.845 | Acc: 28.236% 
001  00114 |Loss: 1.843 | Acc: 28.283% 
001  00115 |Loss: 1.841 | Acc: 28.356% 
001  00116 |Loss: 1.841 | Acc: 28.394% 
001  00117 |Loss: 1.838 | Acc: 28.532% 
001  00118 |Loss: 1.837 | Acc: 28.569% 
001  00119 |Loss: 1.835 | Acc: 28.578% 
001  00120 |Loss: 1.833 | Acc: 28.626% 
001  00121 |Loss: 1.831 | Acc: 28.667% 
001  00122 |Loss: 1.830 | Acc: 28.733% 
001  00123 |Loss: 1.827 | Acc: 28.811% 
001  00124 |Loss: 1.825 | Acc: 28.875% 
001  00125 |Loss: 1.822 | Acc: 29.013% 
001  00126 |Loss: 1.821 | Acc: 29.080% 
001  00127 |Loss: 1.819 | Acc: 29.103% 
001  00128 |Loss: 1.817 | Acc: 29.175% 
001  00129 |Loss: 1.816 | Acc: 29.173% 
001  00130 |Loss: 1.814 | Acc: 29.195% 
001  00131 |Loss: 1.813 | Acc: 29.264% 
001  00132 |Loss: 1.811 | Acc: 29.297% 
001  00133 |Loss: 1.809 | Acc: 29.317% 
001  00134 |Loss: 1.808 | Acc: 29.378% 
001  00135 |Loss: 1.806 | Acc: 29.416% 
001  00136 |Loss: 1.805 | Acc: 29.452% 
001  00137 |Loss: 1.803 | Acc: 29.528% 
001  00138 |Loss: 1.803 | Acc: 29.540% 
001  00139 |Loss: 1.801 | Acc: 29.547% 
001  00140 |Loss: 1.799 | Acc: 29.593% 
001  00141 |Loss: 1.798 | Acc: 29.610% 
001  00142 |Loss: 1.796 | Acc: 29.688% 
001  00143 |Loss: 1.795 | Acc: 29.748% 
001  00144 |Loss: 1.793 | Acc: 29.823% 
001  00145 |Loss: 1.792 | Acc: 29.908% 
001  00146 |Loss: 1.790 | Acc: 29.939% 
001  00147 |Loss: 1.789 | Acc: 30.022% 
001  00148 |Loss: 1.787 | Acc: 30.115% 
001  00149 |Loss: 1.785 | Acc: 30.149% 
001  00150 |Loss: 1.784 | Acc: 30.214% 
001  00151 |Loss: 1.783 | Acc: 30.277% 
001  00152 |Loss: 1.781 | Acc: 30.381% 
001  00153 |Loss: 1.780 | Acc: 30.433% 
001  00154 |Loss: 1.779 | Acc: 30.479% 
001  00155 |Loss: 1.778 | Acc: 30.549% 
001  00156 |Loss: 1.776 | Acc: 30.559% 
001  00157 |Loss: 1.774 | Acc: 30.673% 
001  00158 |Loss: 1.772 | Acc: 30.746% 
001  00159 |Loss: 1.772 | Acc: 30.773% 
001  00160 |Loss: 1.770 | Acc: 30.825% 
001  00161 |Loss: 1.770 | Acc: 30.794% 
001  00162 |Loss: 1.769 | Acc: 30.821% 
001  00163 |Loss: 1.768 | Acc: 30.857% 
001  00164 |Loss: 1.766 | Acc: 30.902% 
001  00165 |Loss: 1.764 | Acc: 30.919% 
001  00166 |Loss: 1.763 | Acc: 30.982% 
001  00167 |Loss: 1.762 | Acc: 31.002% 
001  00168 |Loss: 1.760 | Acc: 31.092% 
001  00169 |Loss: 1.759 | Acc: 31.153% 
001  00170 |Loss: 1.758 | Acc: 31.140% 
001  00171 |Loss: 1.757 | Acc: 31.200% 
001  00172 |Loss: 1.757 | Acc: 31.205% 
001  00173 |Loss: 1.755 | Acc: 31.264% 
001  00174 |Loss: 1.753 | Acc: 31.268% 
001  00175 |Loss: 1.752 | Acc: 31.339% 
001  00176 |Loss: 1.750 | Acc: 31.401% 
001  00177 |Loss: 1.749 | Acc: 31.431% 
001  00178 |Loss: 1.748 | Acc: 31.505% 
001  00179 |Loss: 1.747 | Acc: 31.529% 
001  00180 |Loss: 1.745 | Acc: 31.610% 
001  00181 |Loss: 1.745 | Acc: 31.608% 
001  00182 |Loss: 1.744 | Acc: 31.628% 
001  00183 |Loss: 1.743 | Acc: 31.668% 
001  00184 |Loss: 1.742 | Acc: 31.662% 
001  00185 |Loss: 1.741 | Acc: 31.668% 
001  00186 |Loss: 1.740 | Acc: 31.712% 
001  00187 |Loss: 1.739 | Acc: 31.730% 
001  00188 |Loss: 1.738 | Acc: 31.778% 
001  00189 |Loss: 1.737 | Acc: 31.804% 
001  00190 |Loss: 1.735 | Acc: 31.842% 
001  00191 |Loss: 1.734 | Acc: 31.888% 
001  00192 |Loss: 1.733 | Acc: 31.938% 
001  00193 |Loss: 1.732 | Acc: 31.966% 
001  00194 |Loss: 1.732 | Acc: 31.967% 
001  00195 |Loss: 1.730 | Acc: 32.015% 
001  00196 |Loss: 1.729 | Acc: 32.043% 
001  00197 |Loss: 1.728 | Acc: 32.103% 
001  00198 |Loss: 1.726 | Acc: 32.142% 
001  00199 |Loss: 1.725 | Acc: 32.177% 
001  00200 |Loss: 1.724 | Acc: 32.203% 
001  00201 |Loss: 1.723 | Acc: 32.288% 
