001  00001 |Loss: 2.588 | Acc: 6.250% 
001  00002 |Loss: 2.535 | Acc: 7.422% 
001  00003 |Loss: 2.460 | Acc: 7.812% 
001  00004 |Loss: 2.423 | Acc: 9.766% 
001  00005 |Loss: 2.389 | Acc: 11.406% 
001  00006 |Loss: 2.366 | Acc: 12.370% 
001  00007 |Loss: 2.339 | Acc: 13.728% 
001  00008 |Loss: 2.326 | Acc: 14.258% 
001  00009 |Loss: 2.306 | Acc: 15.017% 
001  00010 |Loss: 2.284 | Acc: 16.562% 
001  00011 |Loss: 2.271 | Acc: 16.406% 
001  00012 |Loss: 2.262 | Acc: 16.732% 
001  00013 |Loss: 2.250 | Acc: 17.127% 
001  00014 |Loss: 2.232 | Acc: 17.746% 
001  00015 |Loss: 2.219 | Acc: 18.125% 
001  00016 |Loss: 2.202 | Acc: 18.457% 
001  00017 |Loss: 2.192 | Acc: 18.750% 
001  00018 |Loss: 2.182 | Acc: 19.054% 
001  00019 |Loss: 2.166 | Acc: 19.572% 
001  00020 |Loss: 2.147 | Acc: 20.000% 
001  00021 |Loss: 2.137 | Acc: 20.461% 
001  00022 |Loss: 2.125 | Acc: 20.845% 
001  00023 |Loss: 2.111 | Acc: 21.298% 
001  00024 |Loss: 2.095 | Acc: 21.875% 
001  00025 |Loss: 2.084 | Acc: 22.156% 
001  00026 |Loss: 2.071 | Acc: 22.656% 
001  00027 |Loss: 2.058 | Acc: 23.235% 
001  00028 |Loss: 2.051 | Acc: 23.633% 
001  00029 |Loss: 2.041 | Acc: 24.003% 
001  00030 |Loss: 2.032 | Acc: 24.219% 
001  00031 |Loss: 2.022 | Acc: 24.622% 
001  00032 |Loss: 2.013 | Acc: 24.976% 
001  00033 |Loss: 2.007 | Acc: 25.379% 
001  00034 |Loss: 2.001 | Acc: 25.666% 
001  00035 |Loss: 1.989 | Acc: 26.116% 
001  00036 |Loss: 1.982 | Acc: 26.324% 
001  00037 |Loss: 1.975 | Acc: 26.499% 
001  00038 |Loss: 1.968 | Acc: 26.748% 
001  00039 |Loss: 1.965 | Acc: 26.783% 
001  00040 |Loss: 1.958 | Acc: 27.070% 
001  00041 |Loss: 1.952 | Acc: 27.363% 
001  00042 |Loss: 1.947 | Acc: 27.530% 
001  00043 |Loss: 1.938 | Acc: 27.780% 
001  00044 |Loss: 1.931 | Acc: 27.983% 
001  00045 |Loss: 1.928 | Acc: 27.986% 
001  00046 |Loss: 1.920 | Acc: 28.261% 
001  00047 |Loss: 1.916 | Acc: 28.441% 
001  00048 |Loss: 1.908 | Acc: 28.727% 
001  00049 |Loss: 1.902 | Acc: 28.986% 
001  00050 |Loss: 1.895 | Acc: 29.328% 
001  00051 |Loss: 1.892 | Acc: 29.396% 
001  00052 |Loss: 1.887 | Acc: 29.522% 
001  00053 |Loss: 1.884 | Acc: 29.673% 
001  00054 |Loss: 1.880 | Acc: 29.832% 
001  00055 |Loss: 1.875 | Acc: 29.901% 
001  00056 |Loss: 1.872 | Acc: 29.980% 
001  00057 |Loss: 1.869 | Acc: 30.030% 
001  00058 |Loss: 1.863 | Acc: 30.334% 
001  00059 |Loss: 1.862 | Acc: 30.469% 
001  00060 |Loss: 1.858 | Acc: 30.625% 
001  00061 |Loss: 1.853 | Acc: 30.891% 
001  00062 |Loss: 1.850 | Acc: 31.061% 
001  00063 |Loss: 1.845 | Acc: 31.225% 
001  00064 |Loss: 1.843 | Acc: 31.409% 
001  00065 |Loss: 1.838 | Acc: 31.562% 
001  00066 |Loss: 1.835 | Acc: 31.676% 
001  00067 |Loss: 1.831 | Acc: 31.880% 
001  00068 |Loss: 1.828 | Acc: 32.020% 
001  00069 |Loss: 1.824 | Acc: 32.077% 
001  00070 |Loss: 1.822 | Acc: 32.098% 
001  00071 |Loss: 1.818 | Acc: 32.306% 
001  00072 |Loss: 1.812 | Acc: 32.541% 
001  00073 |Loss: 1.808 | Acc: 32.695% 
001  00074 |Loss: 1.805 | Acc: 32.897% 
001  00075 |Loss: 1.801 | Acc: 33.083% 
001  00076 |Loss: 1.801 | Acc: 33.100% 
001  00077 |Loss: 1.798 | Acc: 33.279% 
001  00078 |Loss: 1.793 | Acc: 33.464% 
001  00079 |Loss: 1.788 | Acc: 33.722% 
001  00080 |Loss: 1.784 | Acc: 33.887% 
001  00081 |Loss: 1.780 | Acc: 33.999% 
001  00082 |Loss: 1.778 | Acc: 34.080% 
001  00083 |Loss: 1.775 | Acc: 34.215% 
001  00084 |Loss: 1.771 | Acc: 34.319% 
001  00085 |Loss: 1.769 | Acc: 34.393% 
001  00086 |Loss: 1.766 | Acc: 34.539% 
001  00087 |Loss: 1.762 | Acc: 34.689% 
001  00088 |Loss: 1.760 | Acc: 34.810% 
001  00089 |Loss: 1.755 | Acc: 34.963% 
001  00090 |Loss: 1.752 | Acc: 35.104% 
001  00091 |Loss: 1.751 | Acc: 35.148% 
001  00092 |Loss: 1.748 | Acc: 35.275% 
001  00093 |Loss: 1.746 | Acc: 35.400% 
001  00094 |Loss: 1.741 | Acc: 35.580% 
001  00095 |Loss: 1.739 | Acc: 35.658% 
001  00096 |Loss: 1.737 | Acc: 35.701% 
001  00097 |Loss: 1.735 | Acc: 35.809% 
001  00098 |Loss: 1.735 | Acc: 35.810% 
001  00099 |Loss: 1.732 | Acc: 35.977% 
001  00100 |Loss: 1.730 | Acc: 36.055% 
001  00101 |Loss: 1.727 | Acc: 36.170% 
001  00102 |Loss: 1.724 | Acc: 36.236% 
001  00103 |Loss: 1.721 | Acc: 36.362% 
001  00104 |Loss: 1.718 | Acc: 36.388% 
001  00105 |Loss: 1.716 | Acc: 36.496% 
001  00106 |Loss: 1.712 | Acc: 36.675% 
